city,state,year,month,unemployment_rate,yearmonth
Phoenix,AZ,2000,1,4.2,2000-01
Phoenix,AZ,2000,2,3.9,2000-02
Phoenix,AZ,2000,3,4.0,2000-03
Phoenix,AZ,2000,4,3.5,2000-04
Phoenix,AZ,2000,5,3.6,2000-05
Phoenix,AZ,2000,6,4.0,2000-06
Phoenix,AZ,2000,7,4.1,2000-07
Phoenix,AZ,2000,8,4.3,2000-08
Phoenix,AZ,2000,9,3.8,2000-09
Phoenix,AZ,2000,10,3.7,2000-10
Phoenix,AZ,2000,11,3.5,2000-11
Phoenix,AZ,2000,12,3.4,2000-12
Phoenix,AZ,2001,1,4.3,2001-01
Phoenix,AZ,2001,2,3.9,2001-02
Phoenix,AZ,2001,3,4.3,2001-03
Phoenix,AZ,2001,4,4.1,2001-04
Phoenix,AZ,2001,5,4.1,2001-05
Phoenix,AZ,2001,6,5.0,2001-06
Phoenix,AZ,2001,7,5.0,2001-07
Phoenix,AZ,2001,8,5.8,2001-08
Phoenix,AZ,2001,9,5.8,2001-09
Phoenix,AZ,2001,10,5.7,2001-10
Phoenix,AZ,2001,11,5.8,2001-11
Phoenix,AZ,2001,12,5.9,2001-12
Phoenix,AZ,2002,1,6.8,2002-01
Phoenix,AZ,2002,2,6.4,2002-02
Phoenix,AZ,2002,3,6.6,2002-03
Phoenix,AZ,2002,4,6.6,2002-04
Phoenix,AZ,2002,5,6.4,2002-05
Phoenix,AZ,2002,6,6.9,2002-06
Phoenix,AZ,2002,7,6.8,2002-07
Phoenix,AZ,2002,8,7.0,2002-08
Phoenix,AZ,2002,9,6.6,2002-09
Phoenix,AZ,2002,10,6.6,2002-10
Phoenix,AZ,2002,11,6.4,2002-11
Phoenix,AZ,2002,12,6.2,2002-12
Phoenix,AZ,2003,1,6.8,2003-01
Phoenix,AZ,2003,2,6.4,2003-02
Phoenix,AZ,2003,3,6.3,2003-03
Phoenix,AZ,2003,4,6.1,2003-04
Phoenix,AZ,2003,5,5.9,2003-05
Phoenix,AZ,2003,6,6.5,2003-06
Phoenix,AZ,2003,7,6.3,2003-07
Phoenix,AZ,2003,8,6.5,2003-08
Phoenix,AZ,2003,9,6.2,2003-09
Phoenix,AZ,2003,10,5.8,2003-10
Phoenix,AZ,2003,11,5.5,2003-11
Phoenix,AZ,2003,12,5.3,2003-12
Phoenix,AZ,2004,1,6.0,2004-01
Phoenix,AZ,2004,2,5.5,2004-02
Phoenix,AZ,2004,3,5.6,2004-03
Phoenix,AZ,2004,4,5.3,2004-04
Phoenix,AZ,2004,5,5.0,2004-05
Phoenix,AZ,2004,6,5.5,2004-06
Phoenix,AZ,2004,7,5.3,2004-07
Phoenix,AZ,2004,8,5.4,2004-08
Phoenix,AZ,2004,9,5.1,2004-09
Phoenix,AZ,2004,10,4.9,2004-10
Phoenix,AZ,2004,11,4.8,2004-11
Phoenix,AZ,2004,12,4.6,2004-12
Phoenix,AZ,2005,1,5.2,2005-01
Phoenix,AZ,2005,2,5.0,2005-02
Phoenix,AZ,2005,3,5.0,2005-03
Phoenix,AZ,2005,4,4.8,2005-04
Phoenix,AZ,2005,5,4.5,2005-05
Phoenix,AZ,2005,6,4.9,2005-06
Phoenix,AZ,2005,7,4.8,2005-07
Phoenix,AZ,2005,8,4.9,2005-08
Phoenix,AZ,2005,9,4.9,2005-09
Phoenix,AZ,2005,10,4.6,2005-10
Phoenix,AZ,2005,11,4.6,2005-11
Phoenix,AZ,2005,12,4.3,2005-12
Phoenix,AZ,2006,1,4.7,2006-01
Phoenix,AZ,2006,2,4.6,2006-02
Phoenix,AZ,2006,3,4.4,2006-03
Phoenix,AZ,2006,4,4.3,2006-04
Phoenix,AZ,2006,5,3.9,2006-05
Phoenix,AZ,2006,6,4.5,2006-06
Phoenix,AZ,2006,7,4.4,2006-07
Phoenix,AZ,2006,8,4.4,2006-08
Phoenix,AZ,2006,9,4.3,2006-09
Phoenix,AZ,2006,10,3.9,2006-10
Phoenix,AZ,2006,11,3.8,2006-11
Phoenix,AZ,2006,12,3.7,2006-12
Phoenix,AZ,2007,1,4.2,2007-01
Phoenix,AZ,2007,2,3.8,2007-02
Phoenix,AZ,2007,3,3.7,2007-03
Phoenix,AZ,2007,4,3.5,2007-04
Phoenix,AZ,2007,5,3.2,2007-05
Phoenix,AZ,2007,6,3.8,2007-06
Phoenix,AZ,2007,7,3.8,2007-07
Phoenix,AZ,2007,8,3.9,2007-08
Phoenix,AZ,2007,9,3.9,2007-09
Phoenix,AZ,2007,10,4.0,2007-10
Phoenix,AZ,2007,11,4.1,2007-11
Phoenix,AZ,2007,12,4.3,2007-12
Phoenix,AZ,2008,1,4.8,2008-01
Phoenix,AZ,2008,2,4.6,2008-02
Phoenix,AZ,2008,3,4.9,2008-03
Phoenix,AZ,2008,4,4.8,2008-04
Phoenix,AZ,2008,5,5.3,2008-05
Phoenix,AZ,2008,6,6.3,2008-06
Phoenix,AZ,2008,7,6.7,2008-07
Phoenix,AZ,2008,8,7.3,2008-08
Phoenix,AZ,2008,9,7.5,2008-09
Phoenix,AZ,2008,10,7.5,2008-10
Phoenix,AZ,2008,11,7.8,2008-11
Phoenix,AZ,2008,12,8.3,2008-12
Phoenix,AZ,2009,1,9.1,2009-01
Phoenix,AZ,2009,2,9.3,2009-02
Phoenix,AZ,2009,3,9.7,2009-03
Phoenix,AZ,2009,4,9.5,2009-04
Phoenix,AZ,2009,5,9.9,2009-05
Phoenix,AZ,2009,6,10.9,2009-06
Phoenix,AZ,2009,7,11.2,2009-07
Phoenix,AZ,2009,8,11.7,2009-08
Phoenix,AZ,2009,9,11.8,2009-09
Phoenix,AZ,2009,10,11.8,2009-10
Phoenix,AZ,2009,11,11.5,2009-11
Phoenix,AZ,2009,12,11.5,2009-12
Phoenix,AZ,2010,1,11.4,2010-01
Phoenix,AZ,2010,2,11.1,2010-02
Phoenix,AZ,2010,3,10.8,2010-03
Phoenix,AZ,2010,4,10.3,2010-04
Phoenix,AZ,2010,5,10.2,2010-05
Phoenix,AZ,2010,6,10.6,2010-06
Phoenix,AZ,2010,7,10.8,2010-07
Phoenix,AZ,2010,8,10.9,2010-08
Phoenix,AZ,2010,9,10.6,2010-09
Phoenix,AZ,2010,10,10.1,2010-10
Phoenix,AZ,2010,11,10.1,2010-11
Phoenix,AZ,2010,12,9.7,2010-12
Phoenix,AZ,2011,1,9.6,2011-01
Phoenix,AZ,2011,2,9.2,2011-02
Phoenix,AZ,2011,3,9.0,2011-03
Phoenix,AZ,2011,4,8.8,2011-04
Phoenix,AZ,2011,5,8.6,2011-05
Phoenix,AZ,2011,6,10.1,2011-06
Phoenix,AZ,2011,7,9.9,2011-07
Phoenix,AZ,2011,8,9.7,2011-08
Phoenix,AZ,2011,9,9.3,2011-09
Phoenix,AZ,2011,10,8.9,2011-10
Phoenix,AZ,2011,11,8.2,2011-11
Phoenix,AZ,2011,12,8.3,2011-12
Phoenix,AZ,2012,1,8.5,2012-01
Phoenix,AZ,2012,2,8.1,2012-02
Phoenix,AZ,2012,3,7.9,2012-03
Phoenix,AZ,2012,4,7.6,2012-04
Phoenix,AZ,2012,5,7.8,2012-05
Phoenix,AZ,2012,6,8.3,2012-06
Phoenix,AZ,2012,7,8.5,2012-07
Phoenix,AZ,2012,8,8.2,2012-08
Phoenix,AZ,2012,9,7.6,2012-09
Phoenix,AZ,2012,10,7.3,2012-10
Phoenix,AZ,2012,11,6.9,2012-11
Phoenix,AZ,2012,12,7.0,2012-12
Phoenix,AZ,2013,1,7.4,2013-01
Phoenix,AZ,2013,2,6.8,2013-02
Phoenix,AZ,2013,3,6.8,2013-03
Phoenix,AZ,2013,4,6.6,2013-04
Phoenix,AZ,2013,5,6.7,2013-05
Phoenix,AZ,2013,6,7.3,2013-06
Phoenix,AZ,2013,7,7.2,2013-07
Phoenix,AZ,2013,8,7.4,2013-08
Phoenix,AZ,2013,9,7.1,2013-09
Phoenix,AZ,2013,10,6.8,2013-10
Phoenix,AZ,2013,11,6.3,2013-11
Phoenix,AZ,2013,12,6.2,2013-12
Phoenix,AZ,2014,1,6.5,2014-01
Phoenix,AZ,2014,2,6.2,2014-02
Phoenix,AZ,2014,3,6.3,2014-03
Phoenix,AZ,2014,4,5.5,2014-04
Phoenix,AZ,2014,5,5.9,2014-05
Phoenix,AZ,2014,6,6.4,2014-06
Phoenix,AZ,2014,7,6.5,2014-07
Phoenix,AZ,2014,8,6.5,2014-08
Phoenix,AZ,2014,9,6.2,2014-09
Phoenix,AZ,2014,10,5.9,2014-10
Phoenix,AZ,2014,11,5.7,2014-11
Phoenix,AZ,2014,12,5.5,2014-12
Phoenix,AZ,2015,1,5.9,2015-01
Phoenix,AZ,2015,2,5.4,2015-02
Phoenix,AZ,2015,3,5.3,2015-03
Phoenix,AZ,2015,4,5.1,2015-04
Phoenix,AZ,2015,5,5.3,2015-05
Phoenix,AZ,2015,6,5.6,2015-06
Phoenix,AZ,2015,7,5.7,2015-07
Phoenix,AZ,2015,8,5.6,2015-08
Phoenix,AZ,2015,9,5.4,2015-09
Phoenix,AZ,2015,10,5.2,2015-10
Phoenix,AZ,2015,11,5.0,2015-11
Phoenix,AZ,2015,12,4.8,2015-12
Phoenix,AZ,2016,1,5.0,2016-01
Phoenix,AZ,2016,2,4.7,2016-02
Phoenix,AZ,2016,3,4.9,2016-03
Phoenix,AZ,2016,4,4.7,2016-04
Phoenix,AZ,2016,5,4.6,2016-05
Phoenix,AZ,2016,6,5.1,2016-06
Phoenix,AZ,2016,7,5.0,2016-07
Phoenix,AZ,2016,8,5.0,2016-08
Phoenix,AZ,2016,9,4.9,2016-09
Phoenix,AZ,2016,10,4.7,2016-10
Phoenix,AZ,2016,11,4.3,2016-11
Phoenix,AZ,2016,12,4.3,2016-12
Phoenix,AZ,2017,1,4.8,2017-01
Phoenix,AZ,2017,2,4.5,2017-02
Phoenix,AZ,2017,3,4.5,2017-03
Phoenix,AZ,2017,4,4.2,2017-04
Phoenix,AZ,2017,5,4.2,2017-05
Phoenix,AZ,2017,6,4.5,2017-06
Phoenix,AZ,2017,7,4.5,2017-07
Phoenix,AZ,2017,8,4.5,2017-08
Phoenix,AZ,2017,9,4.3,2017-09
Phoenix,AZ,2017,10,4.1,2017-10
Phoenix,AZ,2017,11,4.0,2017-11
Phoenix,AZ,2017,12,4.0,2017-12
Phoenix,AZ,2018,1,4.4,2018-01
Phoenix,AZ,2018,2,4.3,2018-02
Phoenix,AZ,2018,3,4.2,2018-03
Phoenix,AZ,2018,4,4.0,2018-04
Phoenix,AZ,2018,5,3.9,2018-05
Phoenix,AZ,2018,6,4.4,2018-06
Phoenix,AZ,2018,7,4.4,2018-07
Phoenix,AZ,2018,8,4.4,2018-08
Phoenix,AZ,2018,9,4.3,2018-09
Phoenix,AZ,2018,10,4.2,2018-10
Phoenix,AZ,2018,11,4.1,2018-11
Phoenix,AZ,2018,12,4.4,2018-12
Phoenix,AZ,2019,1,5.1,2019-01
Phoenix,AZ,2019,2,4.2,2019-02
Phoenix,AZ,2019,3,4.1,2019-03
Phoenix,AZ,2019,4,3.8,2019-04
Phoenix,AZ,2019,5,4.0,2019-05
Phoenix,AZ,2019,6,4.6,2019-06
Phoenix,AZ,2019,7,4.9,2019-07
Phoenix,AZ,2019,8,4.7,2019-08
Phoenix,AZ,2019,9,3.8,2019-09
